snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
1994,0,8,11,12,0.9126,1
1994,-2,7,12,12,0.9126,1
1994,-3,3,10,12,0.9126,0
1994,4,5,5,12,0.9126,1
1994,0,2,12,12,0.9126,0
1994,0,-3,12,12,0.9126,0
1994,-3,4,10,12,0.9126,0
1994,1,3,12,12,0.9126,1
1994,-1,2,12,12,0.9126,0
1994,-1,-3,12,12,0.9126,0
1994,1,4,12,12,0.9126,1
1994,-4,5,10,12,0.9126,1
1994,2,6,12,12,0.9126,1
1994,5,-1,2,12,0.9126,0
1994,3,3,5,12,0.9126,0
1994,3,4,5,12,0.9126,1
1994,2,7,5,12,0.9126,1
1994,-2,-2,9,12,0.9126,1
1994,5,0,2,12,0.9126,0
1994,6,-1,2,12,0.9126,1
1994,0,-5,8,12,0.9126,1
1994,0,6,12,12,0.9126,1
1994,-2,5,10,12,0.9126,0
1994,-1,6,12,12,0.9126,1
1994,-3,1,10,12,0.9126,0
1994,6,0,2,12,0.9126,1
1994,1,1,12,12,0.9126,1
1994,2,-2,6,12,0.9126,1
1994,0,7,12,12,0.9126,1
1994,5,3,2,12,0.9126,1
1994,-1,7,12,12,0.9126,1
1994,5,4,5,12,0.9126,1
1994,-3,2,10,12,0.9126,0
1994,1,8,11,12,0.9126,0
1994,1,2,12,12,0.9126,1
1994,3,1,5,12,0.9126,0
1994,1,-3,6,12,0.9126,0
1994,2,5,5,12,0.9126,1
1994,4,-1,1,12,0.9126,1
1994,-4,-1,9,12,0.9126,0
1994,4,-4,7,12,0.9126,1
1994,3,2,5,12,0.9126,1
1994,4,0,1,12,0.9126,1
1994,0,-2,12,12,0.9126,0
1994,3,-3,7,12,0.9126,0
1994,-1,-2,12,12,0.9126,1
1994,0,5,12,12,0.9126,1
1994,-3,6,10,12,0.9126,1
1994,-1,5,12,12,0.9126,0
1994,1,-5,8,12,0.9126,1
1994,5,1,2,12,0.9126,1
1994,1,6,12,12,0.9126,1
1994,4,3,2,12,0.9126,1
1994,4,4,5,12,0.9126,1
1994,-2,-1,12,12,0.9126,0
1994,-3,7,10,12,0.9126,1
1994,5,2,2,12,0.9126,1
1994,1,7,12,12,0.9126,1
1994,5,-3,1,12,0.9126,1
1994,3,6,5,12,0.9126,1
1994,6,1,2,12,0.9126,1
1994,-4,3,10,12,0.9126,0
1994,-2,0,9,12,0.9126,0
1994,7,0,3,12,0.9126,1
1994,3,7,5,12,0.9126,1
1994,6,2,2,12,0.9126,1
1994,2,-1,12,12,0.9126,0
1994,1,-2,12,12,0.9126,0
1994,-2,3,10,12,0.9126,0
1994,2,0,12,12,0.9126,1
1994,2,-4,8,12,0.9126,1
1994,-2,4,10,12,0.9126,0
1994,4,1,2,12,0.9126,1
1994,-3,5,10,12,0.9126,1
1994,5,6,5,12,0.9126,1
1994,0,9,11,12,0.9126,1
1994,1,5,12,12,0.9126,1
1994,3,-2,6,12,0.9126,1
1994,-4,1,9,12,0.9126,0
1994,0,-1,12,12,0.9126,0
1994,4,2,2,12,0.9126,1
1994,4,-3,1,12,0.9126,0
1994,5,7,4,12,0.9126,1
1994,-1,-1,12,12,0.9126,0
1994,6,6,4,12,0.9126,1
1994,2,3,5,12,0.9126,1
1994,3,5,5,12,0.9126,1
1994,0,-4,8,12,0.9126,0
1994,0,0,12,12,0.9126,0
1994,2,4,5,12,0.9126,1
1994,-4,2,10,12,0.9126,0
1994,-1,0,12,12,0.9126,0
1998,-2,1,5,12,1.0563,0
1998,5,-2,2,12,1.0563,1
1998,0,3,12,12,1.0563,1
1998,4,6,11,12,1.0563,1
1998,0,4,8,12,1.0563,0
1998,-1,3,8,12,1.0563,0
1998,-2,2,5,12,1.0563,0
