country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
LK,Sri Lanka,1990,1992,1990,3,-1,6,1388.58951823335,68.243915172911,,26.6849955743604,26.3276072862541,18.0909081032944,21.495252052759,21.8833130298585,,0.0,46.9874039169132,17.706225293986,2.541,0.539742838707762,1441.62996809528,67.5959123930763,14.661,27.0879705649331,25.895592770146,17.6140997276515,12.1856307214389,22.615047872269,,,47.0164249822074,17.7326404275605,2.514,0.537191399720341,1481.33110127451,72.8037565573982,14.22,26.1223611336451,25.8895415993585,17.1453343172557,11.3834370512206,23.5229247348236,,,47.9880972669963,18.0422683248566,2.487,1.26379157039996
LK,Sri Lanka,1992,1994,1990,3,-1,6,1481.33110127451,72.8037565573982,14.22,26.1223611336451,25.8895415993585,17.1453343172557,11.3834370512206,23.5229247348236,,,47.9880972669963,18.0422683248566,2.487,1.26379157039996,1556.88467456091,77.1475183409566,13.82,24.8807033118813,25.8495462852682,16.6924029697495,11.7467370174946,25.1969213215497,,,49.2697504028505,18.6153753765776,2.438,1.8810822763682,1620.2912104558,79.4307906970319,13.03,23.9738394947883,26.4041902211078,16.2630967827755,8.44871248698348,26.6386223760283,,0.00277,49.621989227815,18.2159755752188,2.405,1.42019594735505
LK,Sri Lanka,1994,1996,1990,3,-1,6,1620.2912104558,79.4307906970319,13.03,23.9738394947883,26.4041902211078,16.2630967827755,8.44871248698348,26.6386223760283,,0.00277,49.621989227815,18.2159755752188,2.405,1.42019594735505,1681.35053208093,81.6350490886111,12.27,23.1401230659566,26.6839789029789,15.8652068539762,7.67484873449805,25.5888237302552,,0.00548,50.1758980310645,16.5204141533338,2.353,0.42975354803099,1712.00815802791,78.8739637143809,11.35,22.5390632811198,26.5742275506166,15.5065242809941,15.9358310447214,23.8904193051158,,0.0545,50.8867091682636,17.5493667722046,2.285,0.862545735590984
LK,Sri Lanka,1996,1998,1990,3,-1,6,1712.00815802791,78.8739637143809,11.35,22.5390632811198,26.5742275506166,15.5065242809941,15.9358310447214,23.8904193051158,,0.0545,50.8867091682636,17.5493667722046,2.285,0.862545735590984,1787.41017985524,80.1375533095503,10.6,21.9486006411524,26.9936625997448,15.1948401614719,9.57369626405162,24.3602804985443,,0.162,51.0577367703354,17.8465144922001,2.215,2.84957994822129,1836.38946262206,78.4949891255872,9.17,21.1644905234453,27.6167149449992,14.9379455930521,9.36424300683229,25.1195988942873,,0.296,51.2187945315554,18.5093999328085,2.136,1.22725240374875
LK,Sri Lanka,1998,2000,1990,3,-1,6,1836.38946262206,78.4949891255872,9.17,21.1644905234453,27.6167149449992,14.9379455930521,9.36424300683229,25.1195988942873,,0.296,51.2187945315554,18.5093999328085,2.136,1.22725240374875,1880.1067802774,78.7514783496374,8.88,20.7284809437567,27.3613237332533,14.7436316733772,4.69170563048438,27.2819006784133,,0.348,51.9101852955298,19.3844826816087,2.142,1.12277824473328,1956.93310381072,88.636441704913,7.74,19.9273150418722,27.3180767964657,14.6196895000898,6.17627591012045,28.0360931143829,70.3,0.64741,52.7545992799188,18.00722148539,2.213,1.04207418020439
LK,Sri Lanka,2000,2002,2000,3,-1,13,1956.93310381072,88.636441704913,7.74,19.9273150418722,27.3180767964657,14.6196895000898,6.17627591012045,28.0360931143829,70.3,0.64741,52.7545992799188,18.00722148539,2.213,1.04207418020439,1896.48251734068,80.8986015327576,7.9,20.0666052033611,26.8205944160785,14.5739539539707,14.15845579912,22.0011681130711,63.6,0.793822,53.1127923586647,18.3604069353516,2.283,1.09074720867871,1951.22522777045,76.3351317826517,8.76,14.2793225360883,28.0106134516732,14.6107836754127,9.55103167007251,20.0732623989734,80.7,1.05042,57.7100640122386,16.0097234944386,2.31,1.1882779089504
LK,Sri Lanka,2002,2004,2000,2,-1,13,1951.22522777045,76.3351317826517,8.76,14.2793225360883,28.0106134516732,14.6107836754127,9.55103167007251,20.0732623989734,80.7,1.05042,57.7100640122386,16.0097234944386,2.31,1.1882779089504,2052.03045078787,75.336247330543,8.22,13.230514884212,28.4245704176973,14.7256630416211,6.31463787051174,20.0384314018134,75.0,1.45858,58.3448927498315,15.9912272808082,2.301,1.21132740876657,2149.10628588002,79.4829449011187,8.38,12.5438041438828,28.6181015199147,14.9130061059922,7.57592582995856,22.6379241654435,76.5,1.44616,58.8380943362025,16.4326220884324,2.271,1.12667735136244
LK,Sri Lanka,2004,2006,2000,2,-1,13,2149.10628588002,79.4829449011187,8.38,12.5438041438828,28.6181015199147,14.9130061059922,7.57592582995856,22.6379241654435,76.5,1.44616,58.8380943362025,16.4326220884324,2.271,1.12667735136244,2268.6880127005,73.6039729580533,7.67,11.8194768226447,30.1880884644457,15.167273918248,11.6396860971118,23.3719507074008,78.1,1.79205,57.9924347129097,17.8972285347821,2.263,1.11612854301768,2426.34873273046,71.2611784883009,6.5,11.3362802346632,30.6422951801489,15.4829275281105,10.0201836057035,24.872051397226,82.1,2.53757,58.0214245851879,16.9757850463473,2.292,1.6970072277349
LK,Sri Lanka,2006,2008,2000,2,-1,13,2426.34873273046,71.2611784883009,6.5,11.3362802346632,30.6422951801489,15.4829275281105,10.0201836057035,24.872051397226,82.1,2.53757,58.0214245851879,16.9757850463473,2.292,1.6970072277349,2573.54362192705,68.6065116601391,5.97,11.6831643328505,29.9198197775274,15.8544279853018,15.8421114924843,24.7210150759161,80.0,3.88,58.3970158896221,17.5756031260618,2.295,1.8639738781084,2708.58594222506,63.369043608222,5.22,13.379200767591,29.3711947494741,16.2762363395441,22.5644955300126,25.2865656603673,82.9,,57.2496044829348,13.8662909726886,2.232,1.84752962305149
LK,Sri Lanka,2008,2010,2000,2,-1,13,2708.58594222506,63.369043608222,5.22,13.379200767591,29.3711947494741,16.2762363395441,22.5644955300126,25.2865656603673,82.9,,57.2496044829348,13.8662909726886,2.232,1.84752962305149,2787.27350976338,49.1491415308235,5.85,12.691971303497,29.6714387318411,16.7428136405592,3.46496322106074,23.730516434061,87.1,,57.6365899646619,17.9414773830665,2.179,0.960390452698523,2993.01411511147,,4.784,9.04833700762336,27.7831982984661,17.2486209380693,6.2176488930462,,85.3,,53.0103501842047,,2.134,0.814446069624814
LK,Sri Lanka,2010,2012,2010,2,-1,11,2993.01411511147,,4.784,9.04833700762336,27.7831982984661,17.2486209380693,6.2176488930462,,85.3,,53.0103501842047,,2.134,0.814446069624814,3232.37350382301,,4.118,9.5331593503241,29.0731497643121,17.7881192817964,6.7167684358854,,87.8,,53.3645298046069,,2.144,1.41088360121529,3484.79049033884,,3.88,7.91028886852632,30.9698538096371,18.2617686748284,7.54291373239437,,87.0,,54.2044930627604,,2.173,1.3359173422599
LK,Sri Lanka,2012,2014,2010,2,-1,11,3484.79049033884,,3.88,7.91028886852632,30.9698538096371,18.2617686748284,7.54291373239437,,87.0,,54.2044930627604,,2.173,1.3359173422599,3728.93586647848,,4.186,7.92460411652105,30.7956807273264,18.4323136480916,6.90845034828452,,90.2,,54.5155556703844,,2.178,1.21148000445532,3929.92062032185,,4.157,8.08070792331863,30.5178954294297,18.6153877203724,3.1790022823606,,92.7,10.5,54.6273859142795,,2.134,1.08277813761066
LK,Sri Lanka,2014,2016,2010,2,-1,11,3929.92062032185,,4.157,8.08070792331863,30.5178954294297,18.6153877203724,3.1790022823606,,92.7,10.5,54.6273859142795,,2.134,1.08277813761066,4057.7158346231,46.9179708088816,4.519,8.21693887941642,29.5354178735039,18.796256612131,3.76836783062096,28.2586234893223,94.3,15.26,54.2106196152554,27.1445953741395,2.09,0.798746315198801,4214.74117992085,46.4715370252187,4.242,7.26171847779131,30.4827177292135,18.9747679368162,3.9588884659307,30.0891002438121,97.5,22.19,53.4181636951136,29.6295795206208,2.062,1.01937184461335
LK,Sri Lanka,2016,2018,2010,2,-1,11,4214.74117992085,46.4715370252187,4.242,7.26171847779131,30.4827177292135,18.9747679368162,3.9588884659307,30.0891002438121,97.5,22.19,53.4181636951136,29.6295795206208,2.062,1.01937184461335,4436.00789945768,47.1404098004644,4.046,7.4306787795994,31.1282786464433,19.1507693078088,7.70413767850602,31.6001879090711,97.5,25.1,52.2395328655965,33.0346209280596,2.044,1.45462805347273,4493.03575444544,49.8093967521361,4.318,7.59206395115246,30.0568195254141,19.3241083384127,2.135037737132,30.741963079897,99.6,28.3,53.6373194378959,31.1398752496301,2.033,1.70888696252001
LK,Sri Lanka,2018,2020,2010,2,-1,11,4493.03575444544,49.8093967521361,4.318,7.59206395115246,30.0568195254141,19.3241083384127,2.135037737132,30.741963079897,99.6,28.3,53.6373194378959,31.1398752496301,2.033,1.70888696252001,4455.78189608267,49.42552388546,4.67,7.2562467000326,29.1910098710383,19.4946326418437,3.52839358231811,28.5461677263665,99.8,32.0,55.7458586321945,28.3302541971278,2.022,0.835367459152173,4227.23315306594,37.089118857292,5.364,8.25132326058186,28.235832875126,19.6621898312161,6.15394508391738,25.56406175833,100.0,36.1847,57.8323873797115,26.6972841248516,2.007,0.514700552667608
LK,Sri Lanka,2020,2022,2020,2,-1,7,4227.23315306594,37.089118857292,5.364,8.25132326058186,28.235832875126,19.6621898312161,6.15394508391738,25.56406175833,100.0,36.1847,57.8323873797115,26.6972841248516,2.007,0.514700552667608,4357.97225779491,41.2288463291999,4.981,8.78994016463402,29.9540097663376,19.8266275195269,7.01478071238195,26.3457342576137,100.0,44.4531,55.8743853501457,29.3470952241582,1.995,0.66882570941316,4033.14561476298,46.6826080196819,4.528,8.44795287007937,29.8058315790625,19.9877933196367,49.7211021114327,23.9141452966445,100.0,48.3,57.0665321893625,23.7082663255367,1.984,1.19249322228342
