lambda_,max_neurons,n_iter,init_size,random_state,n_neurons,k_1980,k_1990,k_2000,k_2010,k_2020,k_mean,k_range,k_std,k_cv,avg_db,avg_sil,neurons_1980,neurons_1990,neurons_2000,neurons_2010,neurons_2020,error
4.0,60,60,"(2, 2)",42,60,6,2,7,8,11,6.8,9,2.9257477676655586,0.4302570246566998,0.6593811968956101,0.3840883075264565,56,49,55,54,34,
4.0,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
4.0,60,60,"(2, 2)",77,60,3,15,15,15,15,12.6,12,4.800000000000001,0.38095238095238104,0.6580726037153408,0.2697991495312222,52,47,56,50,36,
4.0,60,80,"(2, 2)",42,60,2,2,3,6,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6516760448221852,0.4544937253771174,55,49,58,51,35,
4.0,60,80,"(2, 2)",123,60,5,14,4,5,11,7.8,10,3.9698866482558417,0.5089598266994669,0.6878470224934874,0.28176939897558295,58,44,58,53,33,
4.0,60,80,"(2, 2)",77,60,2,2,2,10,12,5.6,10,4.454211490264018,0.7953949089757175,0.6110514980264767,0.4568410738176715,57,48,58,53,33,
4.0,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
4.0,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
4.0,60,100,"(2, 2)",77,60,8,2,2,3,3,3.6,6,2.244994432064365,0.6236095644623235,0.6557563053599123,0.4473703874080101,56,48,60,52,35,
4.0,65,60,"(2, 2)",42,65,2,2,7,8,15,6.8,13,4.791659420284375,0.7046557971006434,0.6529894485887436,0.4225831032597741,58,50,63,54,35,
4.0,65,60,"(2, 2)",123,65,2,2,5,15,4,5.6,13,4.841487374764082,0.8645513169221575,0.6874793074369563,0.4188511790875567,62,49,65,57,41,
4.0,65,60,"(2, 2)",77,65,15,11,15,3,4,9.6,12,5.2,0.5416666666666667,0.7226338893240195,0.3109737076157697,62,51,61,54,36,
4.0,65,80,"(2, 2)",42,65,5,2,5,4,12,5.6,10,3.3823069050575527,0.6039833759031344,0.7160623062441347,0.35897478805215055,61,48,60,56,37,
