lambda_,max_neurons,n_iter,init_size,random_state,n_neurons,k_1980,k_1990,k_2000,k_2010,k_2020,k_mean,k_range,k_std,k_cv,avg_db,avg_sil,neurons_1980,neurons_1990,neurons_2000,neurons_2010,neurons_2020,error
3.0,65,100,"(2, 2)",77,65,2,2,2,3,3,2.4,1,0.4898979485566356,0.2041241452319315,0.6332818560850695,0.48281800347608844,61,49,63,55,35,
3.5,65,100,"(2, 2)",77,65,2,2,2,3,3,2.4,1,0.4898979485566356,0.2041241452319315,0.6332818560850695,0.48281800347608844,61,49,63,55,35,
4.0,65,100,"(2, 2)",77,65,2,2,2,3,3,2.4,1,0.4898979485566356,0.2041241452319315,0.6332818560850695,0.48281800347608844,61,49,63,55,35,
3.0,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
3.5,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
4.0,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
4.5,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
3.0,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
3.5,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
4.0,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
4.5,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
3.0,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
3.5,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
4.0,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
4.5,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
3.0,55,80,"(2, 2)",77,55,2,5,2,2,4,3.0,3,1.2649110640673518,0.4216370213557839,0.6478597111847126,0.47783495382709396,52,44,54,51,32,
3.5,55,80,"(2, 2)",77,55,2,5,2,2,4,3.0,3,1.2649110640673518,0.4216370213557839,0.6478597111847126,0.47783495382709396,52,44,54,51,32,
4.0,55,80,"(2, 2)",77,55,2,5,2,2,4,3.0,3,1.2649110640673518,0.4216370213557839,0.6478597111847126,0.47783495382709396,52,44,54,51,32,
3.0,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
3.5,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
4.0,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
4.5,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
3.0,60,80,"(2, 2)",42,60,2,2,3,6,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6516760448221852,0.4544937253771174,55,49,58,51,35,
3.5,60,80,"(2, 2)",42,60,2,2,3,6,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6516760448221852,0.4544937253771174,55,49,58,51,35,
