lambda,max_neurons,ks,avg_k,k_std,avg_db,avg_sil,in_target
1.0,50,"[10, 10, 9, 9, 10]",9.6,0.48989794855663565,0.7424789345032682,0.2846615801584903,5
1.0,100,"[9, 9, 8, 10, 8]",8.8,0.7483314773547882,0.8405127004712061,0.30737077333494345,5
1.0,80,"[10, 8, 9, 9, 10]",9.2,0.7483314773547882,0.8277090905876762,0.29297759538887486,5
1.0,60,"[10, 8, 8, 8, 9]",8.6,0.7999999999999999,0.8062305899162373,0.2978532372840822,5
1.0,70,"[10, 9, 8, 8, 10]",9.0,0.8944271909999159,0.8282901040204115,0.29156880611394065,5
1.0,90,"[9, 8, 10, 8, 10]",9.0,0.8944271909999159,0.8411066627372852,0.2796952537426864,5
