k,davies_bouldin_score,silhouette_score
2,1.1226535064788452,0.2680514251259397
3,1.5731866154786347,0.21909327674161072
4,1.2006873033962755,0.22288247354472135
5,1.1402455966949978,0.23674925641371317
6,1.0578451840702692,0.24914052342861662
7,1.2100103528101616,0.23760490703247422
8,1.230404812119469,0.229096032066181
9,1.1424823529336186,0.24512042349558955
10,1.1277057793183018,0.25392770769924194
11,1.1855743907361322,0.21910936462467792
12,1.2454398992088664,0.19862792657941652
13,1.224296298095204,0.20558059816940366
14,1.2439648137792598,0.1958310411678168
15,1.2249614731807053,0.19162274182344688
