k,davies_bouldin_score,silhouette_score
2,1.0935053700213233,0.30785374621199946
3,1.555451711041881,0.224127228705062
4,1.4291090688178831,0.2418138996594074
5,1.2919987055160345,0.23949980677604574
6,1.3587802441785009,0.24053883458477923
7,1.2488899552235344,0.2505550729461197
8,1.1899159069722391,0.25604118729194353
9,1.2533687495485373,0.2066416546751421
10,1.2851383455500691,0.17117230612382686
11,1.3502461803748507,0.1602332019468796
12,1.3053513877185023,0.17110450024466722
13,1.346862175831031,0.1765461781797322
14,1.3817056586569954,0.18037023821101386
15,1.311065058146338,0.18470605856081876
