k,davies_bouldin_score,silhouette_score
2,1.1674375701478998,0.2894859481834766
3,0.9220679482161814,0.31492260097199504
4,0.8304051246906574,0.3282291742666432
5,1.1491835008461768,0.2740605154013322
6,1.1830239434097174,0.25490331990813775
7,1.1068299580150813,0.265628087196702
8,0.9954013733330924,0.26709034244798163
9,1.0978467597110066,0.24804704524206714
10,1.1848553743189196,0.23462568774632944
11,1.1630847920928273,0.24003929441217403
12,1.1367112898123015,0.248951135801125
13,1.0434050908139632,0.2420954411677339
14,1.0300100128475091,0.24209526817114854
15,1.0388621911912903,0.24200491349021738
