k,davies_bouldin_score,silhouette_score
2,1.0889521098672237,0.2909917171287833
3,1.3069074529364448,0.2639691660702421
4,1.3469107748734412,0.2728001415050051
5,1.1080626390649937,0.27436192109817775
6,1.3299152983892981,0.22449921459802066
7,1.2326948020456714,0.23317629748082033
8,1.1963198280687841,0.24838438015852823
9,1.1189855076709248,0.23757703750799927
10,1.1528063593134892,0.2306330602264193
11,1.1627604878177225,0.22118911261406993
12,1.1216306820718225,0.228667001492033
13,1.1997736869180806,0.21275831288255576
14,1.2205524919578867,0.2073592370192295
15,1.2393170963974431,0.19137717206164345
