k,davies_bouldin_score,silhouette_score
2,1.1135078226317239,0.3030401374433963
3,1.297975429881637,0.27533670265101584
4,1.4180999380379862,0.24231452792250457
5,1.143385777412075,0.25368943006842776
6,1.0656668027114737,0.25655699231786255
7,0.9530148263697924,0.2669769628277275
8,1.0207575801235707,0.2520909620899457
9,0.9928428519792578,0.25313008799384373
10,0.9738070271022347,0.26014028957769236
11,1.0016835519488152,0.25378960494369934
12,0.9812007759131225,0.26002595935504014
13,0.9778833089914248,0.25046795137040184
14,0.9830325175872796,0.24899119353854948
15,1.0378216190130753,0.2248679789976631
