k,davies_bouldin_score,silhouette_score
2,1.4324567263098902,0.2657170756469818
3,1.5956516793742193,0.221954138673822
4,1.4716426303709127,0.24434936481185754
5,1.431719701693317,0.22436800176640534
6,1.468431791182559,0.2014921566651088
7,1.276935235750208,0.2130601367389384
8,1.1992433118092118,0.23276948384111198
9,1.1248015425854703,0.2397278342173493
10,1.11579655233375,0.2385679272219555
11,1.1263121070647861,0.2481483018506436
12,1.1423683469748165,0.25170603216363785
13,1.1387732398581276,0.2530255632471564
14,1.1255260682037325,0.24756765662898747
15,1.1142413150134156,0.2522373193503955
