k,davies_bouldin_score,silhouette_score
2,1.2892586280919103,0.2875231848910086
3,1.2293323256522093,0.27657370314478436
4,1.3309067671479575,0.21079794954512385
5,1.3217387444499127,0.20188136990645322
6,1.307753323656594,0.2175314546317704
7,1.2874213703931845,0.19805674148205832
8,1.1454767216706425,0.20476934215337567
9,1.1444656904330561,0.21003001379980527
10,1.1235193323845925,0.19978123429200864
11,1.0969464443168153,0.1998021914248639
12,1.192430433417602,0.18580532635853197
13,1.148504306193763,0.19013081649992683
14,1.066438261583745,0.18614631065288195
15,1.038373792401391,0.19758111331227926
