k,davies_bouldin_score,silhouette_score
2,1.083856281564891,0.31673491645293633
3,1.752396306059097,0.18750877117935832
4,1.532946038334107,0.2159295544748669
5,1.3736103301165874,0.22146603780276505
6,1.296130437671473,0.2221698965500459
7,1.258724796034676,0.2363126070478928
8,1.132132332878885,0.2429054316014202
9,1.2265143117402058,0.21080743237161423
10,1.203358949474116,0.22117510698965306
11,1.286563629948926,0.18542722120509403
12,1.1992801380178544,0.1835752273977121
13,1.1288079207708654,0.18761971359909538
14,1.172579208332726,0.18678617604570147
15,1.1647311924345352,0.19161877564478927
