k,davies_bouldin_score,silhouette_score
2,1.1168767453876853,0.2748332394447742
3,1.5360066900191225,0.2397838099617946
4,1.3010625768964015,0.24599656712009751
5,1.2900953034461349,0.24536436846140092
6,1.2022792802151583,0.25202189632441707
7,1.2424258897093903,0.24130495639096616
8,1.1646342105677538,0.2321302734709641
9,1.1980802358187936,0.2093227027491123
10,1.1319198624021023,0.2284420152334742
11,1.0646460457115667,0.22575081282398513
12,1.0190163610889544,0.23522083968905388
13,0.9647333089350472,0.2425922953757087
14,0.976576972536154,0.2372991930226262
15,0.9992699507319033,0.22667072856046203
