k,davies_bouldin_score,silhouette_score
2,1.0850352423278884,0.27162439863074017
3,1.324528536261399,0.23825690965625868
4,1.3557181996726786,0.24341121674110683
5,1.1292183053507467,0.24422121826284257
6,1.2920206400254,0.18012286678972517
7,1.2299702935779047,0.173128190069234
8,1.22921587373746,0.1749000588778688
9,1.1962310748972633,0.1925270804883338
10,1.1321674173011886,0.21257815819108264
11,1.082683717568418,0.21060618524272018
12,1.128048285671936,0.20038067588842387
13,1.0650759549648972,0.20983350117995717
14,1.1253441003377718,0.2047586790296414
15,1.0807094768700516,0.21352255092693476
